Lever_position,Ship_speed_knots,Turbine_shaft_torque_kNm,Turbine_rpm,Generator_rpm,Starboard_propeller_torque_kN,Port_propeller_torque_kN,Turbine_exit_temperature_C,Compressor_inlet_temperature_C,Compressor_outlet_temperature_C,Turbine_exit_pressure_bar,Compressor_inlet_pressure_bar,Compressor_outlet_pressure_bar,Turbine_exhaust_gas_pressure_bar,Turbine_injecton_control_%,Fuel_mass_flow_kg/s,GT_kMc,GT_kMt
9.3,27.0,72800.0,3560.0,9770.0,645.0,645.0,1090.0,288.0,783.0,4.51,1.0,22.7,1.05,90.6,1.79,0.96,0.98
1.14,3.0,1050.0,1380.0,6690.0,9.25,9.25,473.0,288.0,551.0,1.13,1.0,6.08,1.02,0.0,0.09,0.96,0.98
4.16,12.0,14700.0,1550.0,7780.0,114.0,114.0,647.0,288.0,609.0,1.66,1.0,8.94,1.02,17.5,0.35,0.96,0.98
5.14,15.0,21600.0,1920.0,8490.0,175.0,175.0,715.0,288.0,640.0,2.08,1.0,11.1,1.03,25.5,0.51,0.96,0.98
7.15,21.0,39000.0,2680.0,9130.0,332.0,332.0,836.0,288.0,694.0,2.97,1.0,15.6,1.04,44.6,0.88,0.96,0.98
9.3,27.0,72800.0,3560.0,9770.0,645.0,645.0,1090.0,288.0,783.0,4.5,1.0,22.7,1.05,90.5,1.79,0.96,0.98
1.14,3.0,1750.0,1400.0,6710.0,10.4,10.4,493.0,288.0,555.0,1.16,1.0,6.24,1.02,0.0,0.11,0.96,0.99
2.09,6.0,3100.0,1350.0,6810.0,23.8,23.8,519.0,288.0,561.0,1.21,1.0,6.51,1.02,16.6,0.16,0.96,0.99
3.14,9.0,8380.0,1390.0,7110.0,60.3,60.3,591.0,288.0,583.0,1.39,1.0,7.51,1.02,12.5,0.25,0.96,0.99
7.15,21.0,39000.0,2680.0,9130.0,332.0,332.0,835.0,288.0,694.0,2.97,1.0,15.6,1.04,44.6,0.88,0.96,0.99
2.09,6.0,3000.0,1350.0,6810.0,24.1,24.1,514.0,288.0,561.0,1.2,1.0,6.48,1.02,15.4,0.15,0.96,0.99
4.16,12.0,14700.0,1550.0,7780.0,114.0,114.0,645.0,288.0,609.0,1.66,1.0,8.92,1.02,17.4,0.34,0.96,0.99
5.14,15.0,21600.0,1920.0,8490.0,175.0,175.0,713.0,288.0,640.0,2.08,1.0,11.1,1.03,25.4,0.5,0.96,0.99
6.18,18.0,29800.0,2310.0,8820.0,246.0,246.0,781.0,288.0,670.0,2.5,1.0,13.2,1.03,34.6,0.69,0.96,0.99
8.21,24.0,51000.0,3090.0,9310.0,438.0,438.0,931.0,288.0,735.0,3.58,1.0,18.4,1.04,60.8,1.2,0.96,0.99
3.14,9.0,8380.0,1390.0,7110.0,60.3,60.3,590.0,288.0,583.0,1.39,1.0,7.49,1.02,12.4,0.25,0.96,0.99
4.16,12.0,14700.0,1550.0,7780.0,114.0,114.0,644.0,288.0,609.0,1.66,1.0,8.91,1.02,17.3,0.34,0.96,0.99
5.14,15.0,21600.0,1920.0,8490.0,175.0,175.0,712.0,288.0,640.0,2.08,1.0,11.1,1.03,25.4,0.5,0.96,0.99
8.21,24.0,51000.0,3090.0,9310.0,438.0,438.0,930.0,288.0,735.0,3.58,1.0,18.4,1.04,60.7,1.2,0.96,0.99
1.14,3.0,3510.0,1420.0,6730.0,11.5,11.5,544.0,288.0,564.0,1.23,1.0,6.6,1.02,0.0,0.18,0.96,0.99
3.14,9.0,8380.0,1390.0,7110.0,60.4,60.4,589.0,288.0,583.0,1.39,1.0,7.49,1.02,12.4,0.25,0.96,0.99
4.16,12.0,14700.0,1550.0,7790.0,114.0,114.0,643.0,288.0,609.0,1.66,1.0,8.9,1.02,17.3,0.34,0.96,0.99
7.15,21.0,39000.0,2680.0,9130.0,332.0,332.0,832.0,288.0,693.0,2.97,1.0,15.5,1.04,44.3,0.88,0.96,0.99
1.14,3.0,4140.0,1420.0,6730.0,11.5,11.5,562.0,288.0,566.0,1.25,1.0,6.72,1.02,0.0,0.2,0.96,0.99
2.09,6.0,2880.0,1360.0,6820.0,24.9,24.9,507.0,288.0,560.0,1.2,1.0,6.44,1.02,12.9,0.14,0.96,0.99
3.14,9.0,8380.0,1390.0,7120.0,60.4,60.4,588.0,288.0,582.0,1.39,1.0,7.48,1.02,12.4,0.25,0.96,0.99
5.14,15.0,21600.0,1920.0,8490.0,175.0,175.0,710.0,288.0,640.0,2.08,1.0,11.1,1.03,25.3,0.5,0.96,0.99
8.21,24.0,51000.0,3090.0,9320.0,438.0,438.0,928.0,288.0,735.0,3.57,1.0,18.4,1.04,60.5,1.2,0.96,0.99
1.14,3.0,5700.0,1400.0,6720.0,10.7,10.7,606.0,288.0,572.0,1.3,1.0,6.98,1.02,0.0,0.25,0.96,0.99
2.09,6.0,2840.0,1360.0,6830.0,25.4,25.4,503.0,288.0,560.0,1.2,1.0,6.43,1.02,11.1,0.14,0.96,0.99
3.14,9.0,8380.0,1390.0,7120.0,60.4,60.4,587.0,288.0,582.0,1.39,1.0,7.47,1.02,12.3,0.24,0.96,0.99
4.16,12.0,14700.0,1550.0,7790.0,114.0,114.0,642.0,288.0,608.0,1.66,1.0,8.89,1.02,17.2,0.34,0.96,0.99
5.14,15.0,21600.0,1920.0,8490.0,175.0,175.0,709.0,288.0,639.0,2.08,1.0,11.0,1.03,25.2,0.5,0.96,0.99
6.18,18.0,29800.0,2310.0,8830.0,246.0,246.0,776.0,288.0,670.0,2.5,1.0,13.2,1.03,34.3,0.68,0.96,0.99
7.15,21.0,39000.0,2680.0,9130.0,332.0,332.0,830.0,288.0,693.0,2.96,1.0,15.5,1.04,44.2,0.87,0.96,0.99
8.21,24.0,51000.0,3090.0,9320.0,438.0,438.0,927.0,288.0,735.0,3.57,1.0,18.4,1.04,60.4,1.2,0.96,0.99
2.09,6.0,2850.0,1360.0,6830.0,25.8,25.8,502.0,288.0,559.0,1.2,1.0,6.42,1.02,10.3,0.13,0.96,0.99
3.14,9.0,8380.0,1390.0,7120.0,60.4,60.4,587.0,288.0,582.0,1.39,1.0,7.46,1.02,12.3,0.24,0.96,0.99
4.16,12.0,14700.0,1550.0,7790.0,114.0,114.0,641.0,288.0,608.0,1.66,1.0,8.88,1.02,17.2,0.34,0.96,0.99
7.15,21.0,39000.0,2680.0,9130.0,332.0,332.0,829.0,288.0,693.0,2.96,1.0,15.5,1.04,44.1,0.87,0.96,0.99
1.14,3.0,7050.0,1380.0,6720.0,9.32,9.32,645.0,288.0,576.0,1.33,1.0,7.17,1.02,1.72,0.3,0.96,0.99
2.09,6.0,2850.0,1360.0,6830.0,25.6,25.6,502.0,288.0,559.0,1.2,1.0,6.42,1.02,10.5,0.13,0.96,0.99
3.14,9.0,8380.0,1390.0,7120.0,60.4,60.4,586.0,288.0,582.0,1.39,1.0,7.46,1.02,12.3,0.24,0.96,0.99
7.15,21.0,39000.0,2680.0,9130.0,332.0,332.0,828.0,288.0,693.0,2.96,1.0,15.4,1.04,44.0,0.87,0.96,0.99
1.14,3.0,7270.0,1350.0,6700.0,7.75,7.75,658.0,288.0,576.0,1.33,1.0,7.17,1.02,16.2,0.33,0.96,0.99
2.09,6.0,2870.0,1370.0,6840.0,26.1,26.1,501.0,288.0,559.0,1.2,1.0,6.42,1.02,9.07,0.13,0.96,0.99
4.16,12.0,14700.0,1550.0,7800.0,114.0,114.0,639.0,288.0,608.0,1.66,1.0,8.86,1.02,17.1,0.34,0.96,0.99
5.14,15.0,21600.0,1920.0,8500.0,175.0,175.0,706.0,288.0,639.0,2.08,1.0,11.0,1.03,25.0,0.5,0.96,0.99
6.18,18.0,29800.0,2310.0,8830.0,246.0,246.0,773.0,288.0,669.0,2.5,1.0,13.1,1.03,34.1,0.68,0.96,0.99
8.21,24.0,51000.0,3090.0,9320.0,438.0,438.0,924.0,288.0,734.0,3.57,1.0,18.3,1.04,60.1,1.19,0.96,0.99
9.3,27.0,72800.0,3560.0,9780.0,645.0,645.0,1080.0,288.0,781.0,4.49,1.0,22.4,1.05,89.6,1.77,0.96,0.99
1.14,3.0,6120.0,1330.0,6690.0,6.27,6.27,633.0,288.0,571.0,1.29,1.0,6.95,1.02,27.9,0.3,0.96,0.99
2.09,6.0,2910.0,1370.0,6840.0,26.8,26.8,499.0,288.0,559.0,1.2,1.0,6.42,1.02,6.73,0.13,0.96,0.99
5.14,15.0,21600.0,1920.0,8500.0,175.0,175.0,705.0,288.0,639.0,2.08,1.0,11.0,1.03,25.0,0.49,0.96,0.99
6.18,18.0,29800.0,2310.0,8830.0,246.0,246.0,772.0,288.0,669.0,2.5,1.0,13.1,1.03,34.0,0.67,0.96,0.99
7.15,21.0,39000.0,2680.0,9140.0,332.0,332.0,826.0,288.0,692.0,2.96,1.0,15.4,1.04,43.8,0.87,0.96,0.99
8.21,24.0,51000.0,3090.0,9320.0,438.0,438.0,923.0,288.0,734.0,3.57,1.0,18.3,1.04,60.1,1.19,0.96,0.99
9.3,27.0,72800.0,3560.0,9780.0,645.0,645.0,1080.0,288.0,781.0,4.49,1.0,22.4,1.05,89.5,1.77,0.96,0.99
3.14,9.0,8380.0,1390.0,7130.0,60.4,60.4,583.0,288.0,582.0,1.39,1.0,7.44,1.02,12.2,0.24,0.96,1.0
4.16,12.0,14700.0,1550.0,7800.0,114.0,114.0,637.0,288.0,608.0,1.66,1.0,8.84,1.02,17.0,0.34,0.96,1.0
5.14,15.0,21600.0,1920.0,8500.0,175.0,175.0,705.0,288.0,639.0,2.08,1.0,11.0,1.03,24.9,0.49,0.96,1.0
6.18,18.0,29800.0,2310.0,8830.0,246.0,246.0,771.0,288.0,669.0,2.5,1.0,13.1,1.03,34.0,0.67,0.96,1.0
8.21,24.0,51000.0,3090.0,9320.0,438.0,438.0,922.0,288.0,734.0,3.57,1.0,18.3,1.04,60.0,1.19,0.96,1.0
1.14,3.0,2560.0,1310.0,6680.0,5.36,5.36,538.0,288.0,557.0,1.18,1.0,6.31,1.02,30.8,0.19,0.96,1.0
2.09,6.0,3030.0,1370.0,6850.0,27.6,27.6,500.0,288.0,560.0,1.21,1.0,6.44,1.02,5.11,0.13,0.96,1.0
3.14,9.0,8380.0,1390.0,7130.0,60.4,60.4,583.0,288.0,581.0,1.39,1.0,7.43,1.02,12.1,0.24,0.96,1.0
4.16,12.0,14700.0,1550.0,7800.0,114.0,114.0,637.0,288.0,607.0,1.66,1.0,8.83,1.02,17.0,0.34,0.96,1.0
5.14,15.0,21600.0,1920.0,8500.0,175.0,175.0,704.0,288.0,638.0,2.08,1.0,11.0,1.03,24.9,0.49,0.96,1.0
6.18,18.0,29800.0,2310.0,8830.0,246.0,246.0,770.0,288.0,668.0,2.5,1.0,13.1,1.03,33.9,0.67,0.96,1.0
7.15,21.0,39000.0,2680.0,9140.0,332.0,332.0,824.0,288.0,692.0,2.96,1.0,15.4,1.04,43.7,0.87,0.96,1.0
5.14,15.0,21600.0,1920.0,8500.0,175.0,175.0,703.0,288.0,638.0,2.08,1.0,11.0,1.03,24.8,0.49,0.96,1.0
6.18,18.0,29800.0,2310.0,8840.0,246.0,246.0,769.0,288.0,668.0,2.5,1.0,13.1,1.03,33.8,0.67,0.96,1.0
8.21,24.0,51000.0,3090.0,9320.0,438.0,438.0,920.0,288.0,734.0,3.57,1.0,18.2,1.04,59.8,1.18,0.96,1.0
1.14,3.0,855.0,1320.0,6690.0,5.95,5.95,478.0,288.0,548.0,1.12,1.0,5.95,1.02,21.9,0.12,0.96,1.0
2.09,6.0,3100.0,1380.0,6850.0,27.9,27.9,500.0,288.0,560.0,1.21,1.0,6.44,1.02,3.81,0.13,0.96,1.0
5.14,15.0,21600.0,1920.0,8500.0,175.0,175.0,702.0,288.0,638.0,2.08,1.0,11.0,1.03,24.8,0.49,0.96,1.0
6.18,18.0,29800.0,2310.0,8840.0,246.0,246.0,768.0,288.0,668.0,2.5,1.0,13.1,1.03,33.7,0.67,0.96,1.0
7.15,21.0,39000.0,2680.0,9140.0,332.0,332.0,822.0,288.0,692.0,2.96,1.0,15.3,1.04,43.5,0.86,0.96,1.0
4.16,12.0,14700.0,1550.0,7810.0,114.0,114.0,634.0,288.0,607.0,1.66,1.0,8.81,1.02,16.8,0.33,0.96,1.0
5.14,15.0,21600.0,1920.0,8500.0,175.0,175.0,701.0,288.0,638.0,2.08,1.0,10.9,1.03,24.7,0.49,0.96,1.0
6.18,18.0,29800.0,2310.0,8840.0,246.0,246.0,767.0,288.0,668.0,2.5,1.0,13.1,1.03,33.7,0.67,0.96,1.0
3.14,9.0,8380.0,1390.0,7140.0,60.4,60.4,579.0,288.0,581.0,1.39,1.0,7.4,1.02,12.0,0.24,0.96,1.0
4.16,12.0,14700.0,1550.0,7810.0,114.0,114.0,633.0,288.0,607.0,1.66,1.0,8.8,1.02,16.8,0.33,0.96,1.0
5.14,15.0,21600.0,1920.0,8500.0,175.0,175.0,700.0,288.0,638.0,2.08,1.0,10.9,1.03,24.6,0.49,0.96,1.0
8.21,24.0,51000.0,3090.0,9320.0,438.0,438.0,917.0,288.0,733.0,3.57,1.0,18.2,1.04,59.5,1.18,0.96,1.0
1.14,3.0,674.0,1360.0,6650.0,8.01,8.01,469.0,288.0,550.0,1.11,1.0,6.04,1.02,4.22,0.09,0.97,0.98
2.09,6.0,4110.0,1340.0,6770.0,22.3,22.3,559.0,288.0,567.0,1.24,1.0,6.76,1.02,23.2,0.21,0.97,0.98
3.14,9.0,8380.0,1390.0,7080.0,60.3,60.3,599.0,288.0,584.0,1.39,1.0,7.58,1.02,12.8,0.25,0.97,0.98
4.16,12.0,14700.0,1550.0,7760.0,114.0,114.0,654.0,288.0,611.0,1.66,1.0,9.02,1.02,17.8,0.35,0.97,0.98
6.18,18.0,29800.0,2310.0,8810.0,246.0,246.0,792.0,288.0,673.0,2.51,1.0,13.4,1.03,35.4,0.7,0.97,0.98
7.15,21.0,39000.0,2680.0,9120.0,332.0,332.0,845.0,288.0,695.0,2.97,1.0,15.7,1.04,45.3,0.9,0.97,0.98
9.3,27.0,72800.0,3560.0,9760.0,645.0,645.0,1100.0,288.0,784.0,4.52,1.0,22.9,1.05,91.4,1.81,0.97,0.98
2.09,6.0,4230.0,1340.0,6780.0,22.3,22.3,562.0,288.0,567.0,1.24,1.0,6.77,1.02,23.5,0.21,0.97,0.98
5.14,15.0,21600.0,1920.0,8480.0,175.0,175.0,722.0,288.0,642.0,2.08,1.0,11.2,1.03,26.0,0.51,0.97,0.98
6.18,18.0,29800.0,2310.0,8810.0,246.0,246.0,791.0,288.0,672.0,2.51,1.0,13.4,1.03,35.3,0.7,0.97,0.98
7.15,21.0,39000.0,2680.0,9130.0,332.0,332.0,843.0,288.0,695.0,2.97,1.0,15.7,1.04,45.3,0.9,0.97,0.98
1.14,3.0,2910.0,1410.0,6690.0,11.3,11.3,534.0,288.0,562.0,1.21,1.0,6.55,1.02,0.0,0.16,0.97,0.98
2.09,6.0,3900.0,1340.0,6780.0,22.4,22.4,551.0,288.0,566.0,1.23,1.0,6.7,1.02,22.5,0.2,0.97,0.98
7.15,21.0,39000.0,2680.0,9130.0,332.0,332.0,842.0,288.0,695.0,2.97,1.0,15.7,1.04,45.2,0.9,0.97,0.98
8.21,24.0,51000.0,3090.0,9310.0,438.0,438.0,940.0,288.0,737.0,3.59,1.0,18.6,1.04,61.7,1.22,0.97,0.98
9.3,27.0,72800.0,3560.0,9760.0,645.0,645.0,1100.0,288.0,783.0,4.51,1.0,22.9,1.05,91.2,1.81,0.97,0.98
1.14,3.0,5130.0,1410.0,6700.0,11.0,11.0,599.0,288.0,572.0,1.28,1.0,6.96,1.02,0.0,0.24,0.97,0.98
2.09,6.0,3630.0,1350.0,6780.0,22.7,22.7,542.0,288.0,564.0,1.22,1.0,6.65,1.02,21.3,0.19,0.97,0.98
3.14,9.0,8380.0,1390.0,7090.0,60.3,60.3,597.0,288.0,584.0,1.39,1.0,7.56,1.02,12.7,0.25,0.97,0.98
4.16,12.0,14700.0,1550.0,7760.0,114.0,114.0,652.0,288.0,610.0,1.66,1.0,8.99,1.02,17.7,0.35,0.97,0.98
5.14,15.0,21600.0,1920.0,8480.0,175.0,175.0,720.0,288.0,641.0,2.08,1.0,11.2,1.03,25.8,0.51,0.97,0.98
6.18,18.0,29800.0,2310.0,8820.0,246.0,246.0,789.0,288.0,672.0,2.51,1.0,13.3,1.03,35.1,0.7,0.97,0.98
7.15,21.0,39000.0,2680.0,9130.0,332.0,332.0,841.0,288.0,695.0,2.97,1.0,15.7,1.04,45.1,0.89,0.97,0.98
8.21,24.0,51000.0,3090.0,9310.0,438.0,438.0,939.0,288.0,736.0,3.58,1.0,18.6,1.04,61.6,1.22,0.97,0.98
1.14,3.0,7260.0,1360.0,6670.0,8.33,8.33,668.0,288.0,578.0,1.33,1.0,7.28,1.02,11.9,0.33,0.97,0.98
2.09,6.0,3520.0,1350.0,6790.0,22.8,22.8,538.0,288.0,564.0,1.22,1.0,6.62,1.02,20.8,0.18,0.97,0.98
3.14,9.0,8380.0,1390.0,7090.0,60.3,60.3,596.0,288.0,584.0,1.39,1.0,7.55,1.02,12.7,0.25,0.97,0.98
4.16,12.0,14700.0,1550.0,7770.0,114.0,114.0,651.0,288.0,610.0,1.66,1.0,8.99,1.02,17.7,0.35,0.97,0.98
5.14,15.0,21600.0,1920.0,8480.0,175.0,175.0,719.0,288.0,641.0,2.08,1.0,11.2,1.03,25.8,0.51,0.97,0.98
6.18,18.0,29800.0,2310.0,8820.0,246.0,246.0,788.0,288.0,672.0,2.51,1.0,13.3,1.03,35.1,0.7,0.97,0.98
7.15,21.0,39000.0,2680.0,9130.0,332.0,332.0,840.0,288.0,695.0,2.97,1.0,15.7,1.04,45.0,0.89,0.97,0.98
9.3,27.0,72800.0,3560.0,9760.0,645.0,645.0,1090.0,288.0,783.0,4.51,1.0,22.8,1.05,91.0,1.8,0.97,0.98
3.14,9.0,8380.0,1390.0,7090.0,60.3,60.3,595.0,288.0,584.0,1.39,1.0,7.54,1.02,12.7,0.25,0.97,0.98
4.16,12.0,14700.0,1550.0,7770.0,114.0,114.0,650.0,288.0,610.0,1.66,1.0,8.98,1.02,17.6,0.35,0.97,0.98
5.14,15.0,21600.0,1920.0,8480.0,175.0,175.0,718.0,288.0,641.0,2.08,1.0,11.2,1.03,25.7,0.51,0.97,0.98
6.18,18.0,29800.0,2310.0,8820.0,246.0,246.0,787.0,288.0,672.0,2.51,1.0,13.3,1.03,35.0,0.69,0.97,0.98
7.15,21.0,39000.0,2680.0,9130.0,332.0,332.0,839.0,288.0,694.0,2.97,1.0,15.6,1.04,44.9,0.89,0.97,0.98
8.21,24.0,51000.0,3090.0,9310.0,438.0,438.0,937.0,288.0,736.0,3.58,1.0,18.6,1.04,61.4,1.22,0.97,0.98
9.3,27.0,72800.0,3560.0,9760.0,645.0,645.0,1090.0,288.0,783.0,4.51,1.0,22.8,1.05,90.8,1.8,0.97,0.98
4.16,12.0,14700.0,1550.0,7770.0,114.0,114.0,649.0,288.0,610.0,1.66,1.0,8.97,1.02,17.6,0.35,0.97,0.98
5.14,15.0,21600.0,1920.0,8490.0,175.0,175.0,717.0,288.0,641.0,2.08,1.0,11.2,1.03,25.7,0.51,0.97,0.98
7.15,21.0,39000.0,2680.0,9130.0,332.0,332.0,838.0,288.0,694.0,2.97,1.0,15.6,1.04,44.9,0.89,0.97,0.98
1.14,3.0,992.0,1320.0,6640.0,6.02,6.02,494.0,288.0,551.0,1.12,1.0,6.08,1.02,23.4,0.13,0.97,0.98
2.09,6.0,3230.0,1350.0,6800.0,23.3,23.3,526.0,288.0,562.0,1.21,1.0,6.55,1.02,18.2,0.17,0.97,0.98
3.14,9.0,8380.0,1390.0,7100.0,60.3,60.3,593.0,288.0,583.0,1.39,1.0,7.53,1.02,12.6,0.25,0.97,0.98
4.16,12.0,14700.0,1550.0,7770.0,114.0,114.0,648.0,288.0,609.0,1.66,1.0,8.96,1.02,17.5,0.35,0.97,0.98
7.15,21.0,39000.0,2680.0,9130.0,332.0,332.0,837.0,288.0,694.0,2.97,1.0,15.6,1.04,44.8,0.89,0.97,0.98
9.3,27.0,72800.0,3560.0,9770.0,645.0,645.0,1090.0,288.0,783.0,4.51,1.0,22.7,1.05,90.6,1.79,0.97,0.98
1.14,3.0,360.0,1340.0,6660.0,7.04,7.04,460.0,288.0,547.0,1.1,1.0,5.92,1.02,11.7,0.09,0.97,0.98
4.16,12.0,14700.0,1550.0,7770.0,114.0,114.0,647.0,288.0,609.0,1.66,1.0,8.95,1.02,17.5,0.35,0.97,0.98
6.18,18.0,29800.0,2310.0,8820.0,246.0,246.0,783.0,288.0,671.0,2.51,1.0,13.3,1.03,34.8,0.69,0.97,0.98
7.15,21.0,39000.0,2680.0,9130.0,332.0,332.0,836.0,288.0,694.0,2.97,1.0,15.6,1.04,44.7,0.89,0.97,0.98
1.14,3.0,911.0,1370.0,6680.0,8.95,8.95,468.0,288.0,550.0,1.12,1.0,6.05,1.02,0.0,0.09,0.97,0.98
2.09,6.0,3020.0,1350.0,6800.0,24.0,24.0,516.0,288.0,561.0,1.2,1.0,6.5,1.02,16.0,0.15,0.97,0.98
4.16,12.0,14700.0,1550.0,7780.0,114.0,114.0,646.0,288.0,609.0,1.66,1.0,8.94,1.02,17.4,0.35,0.97,0.98
5.14,15.0,21600.0,1920.0,8490.0,175.0,175.0,715.0,288.0,640.0,2.08,1.0,11.1,1.03,25.5,0.51,0.97,0.98
7.15,21.0,39000.0,2680.0,9130.0,332.0,332.0,835.0,288.0,694.0,2.97,1.0,15.6,1.04,44.6,0.88,0.97,0.98
9.3,27.0,72800.0,3560.0,9770.0,645.0,645.0,1090.0,288.0,782.0,4.51,1.0,22.7,1.05,90.4,1.79,0.97,0.98
1.14,3.0,1350.0,1390.0,6700.0,9.8,9.8,481.0,288.0,553.0,1.14,1.0,6.15,1.02,0.0,0.1,0.97,0.99
4.16,12.0,14700.0,1550.0,7780.0,114.0,114.0,646.0,288.0,609.0,1.66,1.0,8.93,1.02,17.4,0.35,0.97,0.99
5.14,15.0,21600.0,1920.0,8490.0,175.0,175.0,714.0,288.0,640.0,2.08,1.0,11.1,1.03,25.4,0.5,0.97,0.99
7.15,21.0,39000.0,2680.0,9130.0,332.0,332.0,834.0,288.0,693.0,2.97,1.0,15.6,1.04,44.5,0.88,0.97,0.99
8.21,24.0,51000.0,3090.0,9310.0,438.0,438.0,932.0,288.0,735.0,3.58,1.0,18.5,1.04,60.9,1.21,0.97,0.99
9.3,27.0,72800.0,3560.0,9770.0,645.0,645.0,1090.0,288.0,782.0,4.5,1.0,22.6,1.05,90.3,1.79,0.97,0.99
1.14,3.0,1960.0,1400.0,6710.0,10.7,10.7,498.0,288.0,556.0,1.17,1.0,6.29,1.02,0.0,0.12,0.97,0.99
2.09,6.0,2890.0,1360.0,6810.0,24.7,24.7,509.0,288.0,560.0,1.2,1.0,6.46,1.02,13.5,0.14,0.97,0.99
6.18,18.0,29800.0,2310.0,8820.0,246.0,246.0,780.0,288.0,670.0,2.5,1.0,13.2,1.03,34.6,0.68,0.97,0.99
8.21,24.0,51000.0,3090.0,9310.0,438.0,438.0,930.0,288.0,735.0,3.58,1.0,18.4,1.04,60.8,1.2,0.97,0.99
9.3,27.0,72800.0,3560.0,9770.0,645.0,645.0,1090.0,288.0,782.0,4.5,1.0,22.6,1.05,90.2,1.79,0.97,0.99
1.14,3.0,2530.0,1410.0,6720.0,11.2,11.2,515.0,288.0,559.0,1.19,1.0,6.4,1.02,0.0,0.14,0.97,0.99
3.14,9.0,8380.0,1390.0,7110.0,60.4,60.4,589.0,288.0,582.0,1.39,1.0,7.49,1.02,12.4,0.25,0.97,0.99
4.16,12.0,14700.0,1550.0,7780.0,114.0,114.0,644.0,288.0,609.0,1.66,1.0,8.91,1.02,17.3,0.34,0.97,0.99
5.14,15.0,21600.0,1920.0,8490.0,175.0,175.0,712.0,288.0,640.0,2.08,1.0,11.1,1.03,25.3,0.5,0.97,0.99
6.18,18.0,29800.0,2310.0,8820.0,246.0,246.0,779.0,288.0,670.0,2.5,1.0,13.2,1.03,34.5,0.68,0.97,0.99
1.14,3.0,3490.0,1420.0,6720.0,11.5,11.5,543.0,288.0,563.0,1.23,1.0,6.6,1.02,0.0,0.17,0.97,0.99
4.16,12.0,14700.0,1550.0,7780.0,114.0,114.0,643.0,288.0,608.0,1.66,1.0,8.9,1.02,17.3,0.34,0.97,0.99
5.14,15.0,21600.0,1920.0,8490.0,175.0,175.0,711.0,288.0,639.0,2.08,1.0,11.1,1.03,25.3,0.5,0.97,0.99
9.3,27.0,72800.0,3560.0,9770.0,645.0,645.0,1090.0,288.0,782.0,4.5,1.0,22.6,1.05,90.0,1.78,0.97,0.99
1.14,3.0,3580.0,1420.0,6730.0,11.5,11.5,545.0,288.0,564.0,1.23,1.0,6.61,1.02,0.0,0.18,0.97,0.99
2.09,6.0,2880.0,1360.0,6820.0,25.1,25.1,506.0,288.0,560.0,1.2,1.0,6.44,1.02,12.1,0.14,0.97,0.99
3.14,9.0,8380.0,1390.0,7110.0,60.3,60.3,588.0,288.0,582.0,1.39,1.0,7.48,1.02,12.4,0.25,0.97,0.99
4.16,12.0,14700.0,1550.0,7790.0,114.0,114.0,642.0,288.0,608.0,1.66,1.0,8.9,1.02,17.2,0.34,0.97,0.99
6.18,18.0,29800.0,2310.0,8830.0,246.0,246.0,777.0,288.0,670.0,2.5,1.0,13.2,1.03,34.4,0.68,0.97,0.99
7.15,21.0,39000.0,2680.0,9130.0,332.0,332.0,830.0,288.0,693.0,2.97,1.0,15.5,1.04,44.2,0.88,0.97,0.99
9.3,27.0,72800.0,3560.0,9770.0,645.0,645.0,1090.0,288.0,782.0,4.5,1.0,22.5,1.05,89.9,1.78,0.97,0.99
1.14,3.0,4950.0,1410.0,6730.0,11.1,11.1,585.0,288.0,569.0,1.27,1.0,6.85,1.02,0.0,0.22,0.97,0.99
3.14,9.0,8380.0,1390.0,7120.0,60.4,60.4,587.0,288.0,582.0,1.39,1.0,7.47,1.02,12.3,0.24,0.97,0.99
4.16,12.0,14700.0,1550.0,7790.0,114.0,114.0,641.0,288.0,608.0,1.66,1.0,8.89,1.02,17.2,0.34,0.97,0.99
7.15,21.0,39000.0,2680.0,9130.0,332.0,332.0,829.0,288.0,693.0,2.97,1.0,15.5,1.04,44.1,0.87,0.97,0.99
8.21,24.0,51000.0,3090.0,9320.0,438.0,438.0,926.0,288.0,734.0,3.57,1.0,18.4,1.04,60.4,1.2,0.97,0.99
9.3,27.0,72800.0,3560.0,9770.0,645.0,645.0,1090.0,288.0,781.0,4.5,1.0,22.5,1.05,89.8,1.78,0.97,0.99
1.14,3.0,5960.0,1400.0,6720.0,10.5,10.5,612.0,288.0,573.0,1.3,1.0,7.01,1.02,0.0,0.26,0.97,0.99
2.09,6.0,2850.0,1370.0,6830.0,26.3,26.3,501.0,288.0,559.0,1.2,1.0,6.43,1.02,8.31,0.13,0.97,0.99
4.16,12.0,14700.0,1550.0,7790.0,114.0,114.0,640.0,288.0,608.0,1.66,1.0,8.88,1.02,17.2,0.34,0.97,0.99
6.18,18.0,29800.0,2310.0,8830.0,246.0,246.0,775.0,288.0,669.0,2.5,1.0,13.2,1.03,34.2,0.68,0.97,0.99
7.15,21.0,39000.0,2680.0,9130.0,332.0,332.0,828.0,288.0,692.0,2.96,1.0,15.5,1.04,44.0,0.87,0.97,0.99
9.3,27.0,72800.0,3560.0,9770.0,645.0,645.0,1080.0,288.0,781.0,4.5,1.0,22.5,1.05,89.7,1.78,0.97,0.99
1.14,3.0,6430.0,1390.0,6720.0,10.0,10.0,625.0,288.0,574.0,1.32,1.0,7.08,1.02,0.0,0.27,0.97,0.99
